DrugCode,DrugCode24,DrugNameTh,DrugNameEn,DrugType
,213020100012320140681473,,ANALGESIC BALM 30 %W/W OINTMENT,43folders
,101158000000510130581288,,BROMHEXINE 4 MG/5 ML SYRUP,43folders
,218050100027341130581288,,BROMPHENIRAMINE+PHENYLEPHRINE (2 MG+5 MG)/5 ML SYRUP,43folders
,102166000001320241582784,,"POVIDONE IODINE 10 G/100 ML SOLUTION, EXTERNAL",43folders
,204010110078167140681506,,SALICYLIC ACID+BENZOIC ACID (3 G+6 G)/100 G OINTMENT,43folders
,300299000003282110110681,,BLEOMYCIN 1 MG INJECTION,43folders
,300318000003282110110681,,CARBOPLATIN 1 MG INJECTION,43folders
,324526000003282110110681,,VINORELBINE 1 MG INJECTION,43folders
,300317000003282110110681,,CISPLATIN 1 MG INJECTION,43folders
,300302000003282110110681,,DOXORUBICIN 1 MG INJECTION,43folders
,300334000003282110110681,,ETOPOSIDE 1 MG INJECTION,43folders
,344432000003282110110681,,BEVACIZUMAB 1 MG INJECTION,43folders
,323187000003282110110681,,OXALIPLATIN 1 MG INJECTION,43folders
,304304000003282110110681,,PACLITAXEL 1 MG INJECTION,43folders
,324931000003282110110681,,RITUXIMAB 1 MG INJECTION,43folders
,301385000000460840110683,,BETAMETHASONE (AS VALERATE) 0.05 %W/V CREAM,43folders
,301174000000530240410702,,TRIAMCINOLONE 0.1 %W/V LOTION,43folders
,301174000000530240410702,,TRIAMCINOLONE 0.1 %W/V LOTION,43folders
,301172122000601050410681,,"CHLORHEXIDINE GLUCONATE 0.12 G/100 ML SOLUTION, MOUTHWASH",43folders
,211010130017793110181408,,POTASSIUM CHLORIDE+SODIUM CHLORIDE+GLUCOSE (1.5 G+4.5 G+25 G)/1000 ML INJECTION,43folders
,211010220017510110181408,,DEXTROSE+SODIUM CHLORIDE (4.23 G+0.18 G)/100 ML INJECTION,43folders
,301172122000590250410702,,"CHLORHEXIDINE GLUCONATE 0.2 G/100 ML SOLUTION, MOUTHWASH",43folders
,211010220017141110181408,,DEXTROSE+SODIUM CHLORIDE (10 G+0.23 G)/100 ML INJECTION,43folders
,211010220017461110181408,,DEXTROSE+SODIUM CHLORIDE (3.75 G+0.23 G)/100 ML INJECTION,43folders
,211010100027538110181408,,GLUCOSE+POTASSIUM CHLORIDE (5 G+0.3 G)/100 ML INJECTION,43folders
,211010130018166110181408,,POTASSIUM CHLORIDE+SODIUM CHLORIDE+GLUCOSE (3 G+4.5 G+25 G)/1000 ML INJECTION,43folders
,211010220017451110181408,,DEXTROSE+SODIUM CHLORIDE (3.3 G+0.3 G)/100 ML INJECTION,43folders
,300387280000680570110681,,"EPHEDRINE SULFATE 0.4 G/100 ML SOLUTION OR DROPS, NASAL",43folders
,100942000000690110182225,,SODIUM CHLORIDE 0.45 G/100 ML INJECTION,43folders
,211010220017539110181124,,DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML INJECTION,43folders
,100942000000690210181408,,SODIUM CHLORIDE 450 MG/100 ML INJECTION,43folders
,100942000000690210181424,,SODIUM CHLORIDE 450 MG/100 ML INJECTION,43folders
,211010220017539110181124,,DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML INJECTION,43folders
,300387133000700770110702,,"EPHEDRINE HYDROCHLORIDE 0.5 %W/V SOLUTION OR DROPS, NASAL",43folders
,300387056000700770110742,,"EPHEDRINE CHLORIDE 0.5 %W/V SOLUTION OR DROPS, NASAL",43folders
,100349280000700160581289,,"ATROPINE SULFATE 5 MG/1 ML SOLUTION OR DROPS, EYE",43folders
,100558000000700710181308,,LIDOCAINE 0.5 %W/V INJECTION,43folders
,100558000000700110181483,,LIDOCAINE 5 MG/1 ML INJECTION,43folders
,100558000000460210181589,,LIDOCAINE 0.5 MG/1 ML INJECTION,43folders
,101180133000700160581289,,"TETRACAINE HYDROCHLORIDE 5 MG/1 ML SOLUTION OR DROPS, EYE",43folders
,100942000000780210981484,,"SODIUM CHLORIDE 0.9 G/100 ML SOLUTION, STERILE",43folders
,100942000000780210181239,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
,100942000000780210181621,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
,300942000000780210910745,,"SODIUM CHLORIDE 0.9 G/100 ML SOLUTION, STERILE",43folders
,211010220017540110181408,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,211010220017540110181124,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,100942000000780210181124,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
,100942000000780210181124,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
,100942000000780210181424,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
