code,code_name,code_name_en
2,โปรตุเกส,PORTUGUESE
3,ดัตช์,NETHERLANDS
4,เยอรมัน,W. GERMANY
5,ฝรั่งเศส,FRANCE
6,เดนมาร์ก,DENMARK
7,สวีเดน,SWEDEN
8,สวิส,Swiss
9,อิตาลี,ITALY
10,นอร์เวย์,NORWAY
11,ออสเตรีย,AUSTRIA
12,ไอริช,IRISH
13,ฟินแลนด์,FINLAND
14,เบลเยียม,BELGIAN
15,สเปน,SPAIN
16,รัสเซีย,U.S.S.R.
17,โปแลนด์,POLAND
18,เช็ก,CZECH
19,ฮังการี,HUNGARY
20,กรีก,GREECE
21,ยูโกสลาฟ,YUGOSLAV
22,ลักเซมเบิร์ก,LUXEMBOURGE
23,วาติกัน,VATIGAN
24,มอลตา,MALTESE
25,ลีซู,
26,บัลแกเรีย,BULGARIA
27,โรมาเนีย,ROMANIAN
28,ไซปรัส,CYPRUS
29,อเมริกัน,U.S.A.
30,แคนาดา,CANADIAN
31,เม็กซิโก,MEXICO
32,คิวบา,CUBA
33,อาร์เจนตินา,ARGENTINA
34,บราซิล,BRAZIL
35,ชิลี,CHILE
36,อาข่า,
37,โคลัมเบีย,COLOMBIA
38,ลั๊ว,
39,เปรู,PERU
40,ปานามา,PANAMA
41,อุรุกวัย,URUGUAY
42,เวเนซุเอลา,VENEZUELA
43,เปอร์โตริโก,PUERTORICO
44,จีน,CHINA (MAIN LAND)
45,อินเดีย,INDIA
46,เวียดนาม,VIETNAMCSE
47,ญี่ปุ่น,JAPAN
48,พม่า,of Myanmar
49,ฟิลิปปิน,PHILIPPINE
50,มาเลเซีย,MALASIA
51,อินโดนีเซีย,INDONESIA
52,ปากีสถาน,PAKISTAN
53,เกาหลีใต้,OF THE REPUBLIC OF KOREA
54,สิงคโปร์,SINGAPORE
55,เนปาล,NAPAL
56,ลาว,LAO
57,กัมพูชา,Cambodian
58,ศรีลังกา,SRI LANKA
59,ซาอุดีอาระเบีย,SAUDI ARABIAN
60,อิสราเอล,ISRAEL
61,เลบานอน,LEBANON
62,อิหร่าน,IRAN
63,ตุรกี,TURKEY
64,บังกลาเทศ,BANGLADESH
65,ถูกถอนสัญชาติ,
66,ซีเรีย,SYRIA
67,อิรัก,IRAQI
68,คูเวต,KUWAIT
69,บรูไน,BRUNEI
70,แอฟริกาใต้,SOUTH AFRICAN
71,กะเหรี่ยง,
72,ลาหู่,
73,เคนยา,KENYA
74,อียิปต์,EGYPT
75,เอธิโอเปีย,ETHIOPIA
76,ไนจีเรีย,NIGERIA
77,สหรัฐอาหรับเอมิเรตส์,UNITED ARAB EMIRATE
78,กินี,GUINEA
79,ออสเตรเลีย,AUSTRALIA
80,นิวซีแลนด์,NEW ZEALAND
81,ปาปัวนิวกินี,PAPUA NEW GUINEA
82,ม้ง,
83,เมี่ยน,
84,ชาวเขา,
86,จีนฮ่อ,-
87,จีน (อดีต ทจช.),
88,ผู้พลัดถิ่นสัญชาติพม่า,
89,ผู้อพยพเชื้อสายจากกัมพูชา,
90,ลาว (ลาวอพยพ),
91,เขมรอพยพ,
92,เวียตนามอพยพ,
93,รอให้สัญชาติไทย,
94,ไทย-อิสลาม,
95,ไทย-จีน,
96,ไร้สัญชาติ,-
97,อื่นๆ,
98,ไม่ได้สัญชาติไทย,
99,ไทย,THAILAND
100,อัฟกัน,AFGHAN
101,บาห์เรน,BAHRAINI
271,คอซอวอ,
