code,code_name_th,code_name_en,remark
UCS,สิทธิ UC,,สานักงานหลักประกันสุขภาพแห่งชาติ
OFC,ข้าราชการ,,สานักงานหลักประกันสุขภาพแห่งชาติ
SSS,ประกันสังคม,,สานักงานหลักประกันสุขภาพแห่งชาติ
LGO,อปท,,สานักงานหลักประกันสุขภาพแห่งชาติ
NHS,สิทธิเจ้าหน้าที่ สปสช.,,สานักงานหลักประกันสุขภาพแห่งชาติ
0100,หลักประกันสุขภาพ,,43แฟ้ม
1100,ข้าราชการประจำ,,43แฟ้ม
1200,ข้าราชการบำนาญ,,43แฟ้ม
1300,ลูกจ้างประจำ,,43แฟ้ม
1400,ลูกจ้างประจำบำนาญ,,43แฟ้ม
1900,ข้าราชการการเมือง,,43แฟ้ม
2101,ข้าราชการประจำกรุงเทพมหานคร,,43แฟ้ม
2102,ข้าราชการบำนาญกรุงเทพมหานคร,,43แฟ้ม
2103,ลูกจ้างประจำกรุงเทพมหานคร,,43แฟ้ม
2104,ลูกจ้างประจำบำนาญกรุงเทพมหานคร,,43แฟ้ม
2105,ข้าราชการประจำเมืองพัทยา,,43แฟ้ม
2106,ข้าราชการบำนาญเมืองพัทยา,,43แฟ้ม
2107,ลูกจ้างประจำเมืองพัทยา,,43แฟ้ม
2108,ลูกจ้างประจำบำนาญเมืองพัทยา,,43แฟ้ม
2201,ข้าราชการประจำเทศบาล,,43แฟ้ม
2202,ข้าราชการบำนาญเทศบาล,,43แฟ้ม
2203,ลูกจ้างประจำเทศบาล,,43แฟ้ม
2204,ลูกจ้างประจำบำนาญเทศบาล,,43แฟ้ม
2301,ข้าราชการประจำองค์การบริหารส่วนจังหวัด,,43แฟ้ม
2302,ข้าราชการบำนาญองค์การบริหารส่วนจังหวัด,,43แฟ้ม
2303,ลูกจ้างประจำองค์การบริหารส่วนจังหวัด,,43แฟ้ม
2304,ลูกจ้างประจำบำนาญองค์การบริหารส่วนจังหวัด             ,,43แฟ้ม
2401,ข้าราชการประจำองค์การบริหารส่วนตำบล,,43แฟ้ม
2402,ข้าราชการบำนาญองค์การบริหารส่วนตำบล,,43แฟ้ม
2403,ลูกจ้างประจำองค์การบริหารส่วนตำบล,,43แฟ้ม
2404,ลูกจ้างประจำบำนาญองค์การบริหารส่วนตำบล,,43แฟ้ม
2501,ข้าราชการการเมืองกรุงเทพมหานคร,,43แฟ้ม
2502,ข้าราชการการเมืองเมืองพัทยา,,43แฟ้ม
2601,ข้าราชการการเมืองเทศบาล,,43แฟ้ม
2701,ข้าราชการการเมืององค์การบริหารส่วนจังหวัด,,43แฟ้ม
2801,ข้าราชการการเมืององค์การบริหารส่วนตำบล,,43แฟ้ม
3101,การไฟฟ้านครหลวง,,43แฟ้ม
3102,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,43แฟ้ม
3103,การไฟฟ้าส่วนภูมิภาค,,43แฟ้ม
3104,บริษัท ปตท. จำกัด (มหาชน),,43แฟ้ม
3201,การทางพิเศษแห่งประเทศไทย,,43แฟ้ม
3202,การท่าเรือแห่งประเทศไทย,,43แฟ้ม
3203,การรถไฟฟ้ามวลชนแห่งประเทศไทย,,43แฟ้ม
3204,การรถไฟแห่งประเทศไทย,,43แฟ้ม
3205,บริษัท การบินไทย จำกัด (มหาชน),,43แฟ้ม
3206,บริษัทขนส่ง จำกัด,,43แฟ้ม
3207,บริษัท ท่าอากาศยายไทย จำกัด (มหาชน),,43แฟ้ม
3208,ไทยเดินเรือทะเล จำกัด,,43แฟ้ม
3209,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,,43แฟ้ม
3210,สถาบันการบินพลเรือน,,43แฟ้ม
3211,องค์การขนส่งมวลชนกรุงเทพ,,43แฟ้ม
3301,บริษัท กสท. โทรคมนาคม จำกัด (มหาชน),,43แฟ้ม
3302,บริษัท ทีโอที จำกัด (มหาชน),,43แฟ้ม
3303,บริษัทไปรษณีย์ไทย จำกัด,,43แฟ้ม
3304,บริษัท อสมท. จำกัด,,43แฟ้ม
3401,การเคหะแห่งชาติ,,43แฟ้ม
3402,การประปานครหลวง,,43แฟ้ม
3403,การประปาส่วนภูมิภาค,,43แฟ้ม
3404,องค์การจัดการน้ำเสีย,,43แฟ้ม
3501,การนิคมอุตสาหกรรมแห่งประเทศไทย,,43แฟ้ม
3502,บริษัท อู่กรุงเทพ จำกัด,,43แฟ้ม
3503,โรงงานไพ่ กรมสรรพสามิต,,43แฟ้ม
3504,โรงงานยาสูบ กระทรวงการคลัง,,43แฟ้ม
3505,โรงพิมพ์ตำรวจ สำนักงานตำรวจแห่งชาติ,,43แฟ้ม
3506,องค์การสุรา กรมสรรพสามิต,,43แฟ้ม
3601,บริษัท ส่งเสริมธุรกิจเกษตรกรไทย จำกัด,,43แฟ้ม
3602,สำนักงานกองทุนสงเคราะห์การทำสวนยาง,,43แฟ้ม
3603,องค์การสุรา กรมสรรพสามิต,,43แฟ้ม
3604,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย,,43แฟ้ม
3605,องค์การสวนพฤกษศาสตร์,,43แฟ้ม
3606,องค์การสวนยาง,,43แฟ้ม
3607,องค์การสะพานปลา,,43แฟ้ม
3608,องค์การอุตสาหกรรมป่าไม้,,43แฟ้ม
3701,บริษัท ธนารักษ์พัฒนาสินทรัพย์ จำกัด,,43แฟ้ม
3702,สหโรงแรมไทยและการท่องเที่ยว จำกัด,,43แฟ้ม
3703,สำนักงานสลากกินแบ่งรัฐบาล,,43แฟ้ม
3704,องค์การคลังสินค้า,,43แฟ้ม
3705,องค์การตลาด,,43แฟ้ม
3801,การกีฬาแห่งประเทศไทย,,43แฟ้ม
3802,การท่องเที่ยวแห่งประเทศไทย,,43แฟ้ม
3803,สถาบันวิจัยวิทยาศาสตร์และเทคโนโลยีแห่งประเทศไทย,,43แฟ้ม
3804,สำนักงานธนานุเคราะห์ กรมพัฒนาสังคมและสวัสดิการ,,43แฟ้ม
3805,องค์การพิพิธภัณฑ์วิทยาศาสตร์แห่งชาติ,,43แฟ้ม
3806,องค์การเภสัชกรรม,,43แฟ้ม
3807,องค์การสวนสัตว์,,43แฟ้ม
3901,ธนาคารกรุงไทย จำกัด (มหาชน),,43แฟ้ม
3902,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย  ,,43แฟ้ม
3903,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร,,43แฟ้ม
3904,ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย,,43แฟ้ม
3905,ธนาคารออมสิน,,43แฟ้ม
3906,ธนาคารอาคารสงเคราะห์,,43แฟ้ม
3907,ธนาคารอิสลามแห่งประเทศไทย,,43แฟ้ม
3908,บรรษัทตลาดรองสินเชื่อที่อยู่อาศัย,,43แฟ้ม
3909,บรรษัทประกันสินเชื่ออุตสาหกรรมขนาดย่อม,,43แฟ้ม
4100,กองทุนเงินทดแทน,,43แฟ้ม
4200,กองทุนประกันสังคม,,43แฟ้ม
5100,ประกันสุขภาพภาคเอกชน,,43แฟ้ม
6100,กองทุนผู้ประสบภัยจากรถ,,43แฟ้ม
7100,พนักงาน/เจ้าหน้าที่หรือผู้ปฏิบัติงานสังกัดองค์กรอิสระตามรัฐธรรมนูญ,,43แฟ้ม
8100,สิทธิพิเศษเฉพาะกลุ่มอนุเคราะห์,,43แฟ้ม
8200,สิทธิที่โรงพยาบาลให้การอนุเคราะห์,,43แฟ้ม
8300,บุคคลที่มีปัญหาสถานะ ชำระเงินเอง,,43แฟ้ม
8301,บุคคลที่มีปัญหาสถานะบุคคลที่มีปัญหาสถานะ และใช้สิทธิ์ตามโครงการคืนสิทธิ์ของกระทรวงสาธารณสุข,,43แฟ้ม
8302,บุคคลที่มีปัญหาสถานะ ชำระเงินเต็มจำนวน,,43แฟ้ม
8308,บุคคลที่มีปัญหาสถานะ ใช้สิทธิ์อื่นๆ,,43แฟ้ม
8400,บุคคลที่มีสิทธิต่างด้าว ชำระเงินเอง,,43แฟ้ม
8401,ประชากรต่างด้าวเข้าเมืองถูกกฎหมาย และซื้อประกันสุขภาพกับกระทรวงสาธารณสุข,,43แฟ้ม
8402,ประชากรต่างด้าวเข้าเมืองถูกกฎหมาย และอยู่ในระบบประกันสังคม,,43แฟ้ม
