code,code_name_th,code_name_en
1,นาย,
2,เด็กหญิง,
3,นาย,MR.
4,นางสาว,MISS
5,นาง,MRS.
120,หม่อมเจ้า,M.C
121,หม่อมราชวงศ์,M.R
122,หม่อมหลวง,M.L
123,พระยา,
124,หลวง,
125,ขุน,
126,หมื่น,
127,เจ้าคุณ,
129,คุณ,KHUN
130,คุณหญิง,KHUNYING
134,นายแพทย์,DR.
135,แพทย์หญิง,DR.
136,ทันตแพทย์,
137,ทัณตแพทย์หญิง,
138,สัตวแพทย์,
139,สัตวแพทย์หญิง,
140,ดอกเตอร์,DR.
142,รองศาสตราจารย์,
143,ศาสตราจารย์,PROF.
144,เภสัชกรชาย,
145,เภสัชกรหญิง,
146,หม่อม,MOM
147,รองอำมาตย์เอก,
148,ท้าว,
149,เจ้า,
150,ท่านผู้หญิง,THANPHUYING
151,คุณพระ,
153,ซิสเตอร์,
154,เจ้าชาย,
155,เจ้าหญิง,
156,รองเสวกตรี,
157,เสด็จเจ้า,
158,เอกอัครราชฑูต,
159,พลสารวัตร,
160,สมเด็จเจ้า,
161,เจ้าฟ้า,
162,รองอำมาตย์ตรี,
163,หม่อมเจ้าหญิง,M.C.
164,ทูลกระหม่อม,
166,เจ้านาง,
167,จ่าสำรอง,
170,กรมพระยา,
171,เจ้าพระยา,
200,พลเอก,GEN.
201,ว่าที่พลเอก,
202,พลโท,LT.GEN.
204,พลตรี,MAJ.GEN.
205,ว่าที่พลตรี,
206,พันเอกพิเศษ,COL.
208,พันเอก,COL.
209,ว่าที่พันเอก,
210,พันโท,LT.COL.
211,ว่าที่พันโท,
212,พันตรี,MAJ.
213,ว่าที่พันตรี,
214,ร้อยเอก,CAPT.
215,ว่าที่ร้อยเอก,ACTING CAPT.
216,ร้อยโท,LT.
217,ว่าที่ร้อยโท,ACTING LT.
218,ร้อยตรี,SUB.LT.
219,ว่าที่ร้อยตรี,ACTING SUB LT.
220,จ่าสิบเอก,SM 1
221,จ่าสิบโท,SM 2
222,จ่าสิบตรี,SM 3
223,สิบเอก,SGT.
224,สิบโท,CPL.
225,สิบตรี,PFC.
226,พลทหาร,
227,นักเรียนนายร้อย,ARMY CADET
228,นักเรียนนายสิบ,
229,พลจัตวา,
230,พลฯ อาสาสมัคร,
231,ร้อยเอกหม่อมเจ้า,
232,พลโทหม่อมเจ้า,LT.GEN.M.C.
233,ร้อยตรีหม่อมเจ้า,
234,ร้อยโทหม่อมเจ้า,
235,พันโทหม่อมเจ้า,
236,พันเอกหม่อมเจ้า,
247,พลฯ หม่อมหลวง,
248,ร้อยเอกหม่อมหลวง,CAPT.M.L.
249,สิบโทหม่อมหลวง,
250,พลโทหม่อมหลวง,LT.GEN.M.L.
251,ร้อยโทหม่อมหลวง,LT.M.L.
252,ร้อยตรีหม่อมหลวง,SUB LT.M.L.
253,สิบเอกหม่อมหลวง,
254,พลตรีหม่อมหลวง,
255,พันตรีหม่อมหลวง,MAJ.M.L.
256,พันเอกหม่อมหลวง,COL.M.L.
257,พันโทหม่อมหลวง,
262,ร้อยเอกนายแพทย์,
263,ร้อยเอกแพทย์หญิง,
264,ร้อยโทนายแพทย์,
265,พันตรีนายแพทย์,
267,พันเอกนายแพทย์,
268,ร้อยตรีนายแพทย์,
269,ร้อยโทแพทย์หญิง,
