TitleCode,TitleNameTh,TitleNameEn
001,เด็กชาย,
002,เด็กหญิง,
003,นาย,MR.
004,นางสาว,MISS
005,นาง,MRS.
006,นักโทษชายหม่อมหลวง,
007,นักโทษชาย,
008,นักโทษหญิง,
009,นักโทษชายจ่าสิบเอก,
010,นักโทษชายจ่าเอก,
011,นักโทษชายพลทหาร,
012,นักโทษชายร้อยตรี,
099,พระเจ้าหลานเธอ พระองค์เจ้า,
100,พระบาทสมเด็จพระเจ้าอยู่หัว,
101,สมเด็จพระนางเจ้า,
102,สมเด็จพระศรีนครินทราบรมราชชนนี,
103,พลโทสมเด็จพระบรมโอรสาธิราช,
104,พลตรีสมเด็จพระเทพรัตนราชสุดา,
105,พระเจ้าวรวงศ์เธอพระองค์หญิง,
106,พระเจ้าวรวงศ์เธอ พระองค์เจ้า,
107,สมเด็จพระราชชนนี,
108,สมเด็จพระเจ้าพี่นางเธอเจ้าฟ้า,
109,สมเด็จพระ,
110,สมเด็จพระเจ้าลูกเธอ,
111,สมเด็จพระเจ้าลูกยาเธอ,
112,สมเด็จเจ้าฟ้า,
113,พระเจ้าบรมวงศ์เธอ,
114,พระเจ้าวรวงศ์เธอ,
115,พระเจ้าหลานเธอ,
116,พระเจ้าหลานยาเธอ,
117,พระวรวงศ์เธอ,
119,พระองค์เจ้า,
120,หม่อมเจ้า,M.C
121,หม่อมราชวงศ์,M.R
122,หม่อมหลวง,M.L
123,พระยา,
124,หลวง,
125,ขุน,
126,หมื่น,
127,เจ้าคุณ,
128,พระวรวงศ์เธอพระองค์เจ้า,
129,คุณ,KHUN
130,คุณหญิง,KHUNYING
131,ท่านผู้หญิงหม่อมหลวง,
132,ศาสตราจารย์นายแพทย์,
133,แพทย์หญิงคุณหญิง,
134,นายแพทย์,DR.
135,แพทย์หญิง,DR.
136,ทันตแพทย์,
137,ทันตแพทย์หญิง,
138,สัตวแพทย์,
139,สัตวแพทย์หญิง,
140,ดอกเตอร์,DR.
141,ผู้ช่วยศาสตราจารย์,
142,รองศาสตราจารย์,
143,ศาสตราจารย์,PROF.
144,เภสัชกรชาย,
145,เภสัชกรหญิง,
146,หม่อม,MOM
147,รองอำมาตย์เอก,
148,ท้าว,
149,เจ้า,
150,ท่านผู้หญิง,THANPHUYING
151,คุณพระ,
152,ศาสตราจารย์คุณหญิง,
153,ซิสเตอร์,
154,เจ้าชาย,
155,เจ้าหญิง,
156,รองเสวกตรี,
157,เสด็จเจ้า,
158,เอกอัครราชทูต,
159,พลสารวัตร,
160,สมเด็จเจ้า,
161,เจ้าฟ้า,
162,รองอำมาตย์ตรี,
163,หม่อมเจ้าหญิง,M.C.
164,ทูลกระหม่อม,
165,ศาสตราจารย์ดอกเตอร์,
166,เจ้านาง,
167,จ่าสำรอง,
200,พลเอก,GEN.
201,ว่าที่พลเอก,
202,พลโท,LT.GEN.
204,พลตรี,MAJ.GEN.
205,ว่าที่พลตรี,
206,พันเอกพิเศษ,COL.
207,ว่าที่พันเอกพิเศษ,
208,พันเอก,COL.
209,ว่าที่พันเอก,
210,พันโท,LT.COL.
211,ว่าที่พันโท,
212,พันตรี,MAJ.
213,ว่าที่พันตรี,
214,ร้อยเอก,CAPT.
215,ว่าที่ร้อยเอก,ACTING CAPT.
216,ร้อยโท,LT.
217,ว่าที่ร้อยโท,ACTING LT.
218,ร้อยตรี,SUB.LT.
219,ว่าที่ร้อยตรี,ACTING SUB LT.
220,จ่าสิบเอก,SM 1
221,จ่าสิบโท,SM 2
222,จ่าสิบตรี,SM 3
223,สิบเอก,SGT.
224,สิบโท,CPL.
225,สิบตรี,PFC.
226,พลทหาร,
227,นักเรียนนายร้อย,ARMY CADET
228,นักเรียนนายสิบ,
229,พลจัตวา,
230,พลฯ อาสาสมัคร,
231,ร้อยเอกหม่อมเจ้า,
232,พลโทหม่อมเจ้า,LT.GEN.M.C.
233,ร้อยตรีหม่อมเจ้า,
234,ร้อยโทหม่อมเจ้า,
235,พันโทหม่อมเจ้า,
236,พันเอกหม่อมเจ้า,
237,พันตรีหม่อมราชวงศ์,
238,พันโทหม่อมราชวงศ์,
239,สิบตรีหม่อมราชวงศ์,
240,พันเอกหม่อมราชวงศ์,
241,จ่าสิบเอกหม่อมราชวงศ์,
242,ร้อยเอกหม่อมราชวงศ์,
243,ร้อยตรีหม่อมราชวงศ์,
244,สิบเอกหม่อมราชวงศ์,
245,ร้อยโทหม่อมราชวงศ์,
246,พันเอก (พิเศษ) หม่อมราชวงศ์,
247,พลฯ หม่อมหลวง,
248,ร้อยเอกหม่อมหลวง,CAPT.M.L.
249,สิบโทหม่อมหลวง,
250,พลโทหม่อมหลวง,LT.GEN.M.L.
251,ร้อยโทหม่อมหลวง,LT.M.L.
252,ร้อยตรีหม่อมหลวง,SUB LT.M.L.
253,สิบเอกหม่อมหลวง,
254,พลตรีหม่อมหลวง,
255,พันตรีหม่อมหลวง,MAJ.M.L.
256,พันเอกหม่อมหลวง,COL.M.L.
257,พันโทหม่อมหลวง,
258,จ่าสิบตรีหม่อมหลวง,
259,นักเรียนนายร้อยหม่อมหลวง,
260,ว่าที่ร้อยตรีหม่อมหลวง,
261,จ่าสิบเอกหม่อมหลวง,
262,ร้อยเอกนายแพทย์,
263,ร้อยเอกแพทย์หญิง,
264,ร้อยโทนายแพทย์,
265,พันตรีนายแพทย์,
266,ว่าที่ร้อยโทนายแพทย์,
267,พันเอกนายแพทย์,
268,ร้อยตรีนายแพทย์,
269,ร้อยโทแพทย์หญิง,
270,พลตรีนายแพทย์,
271,พันโทนายแพทย์,
272,จอมพล,
273,พันโทหลวง,
274,พันตรีพระเจ้าวรวงศ์เธอพระองค์เจ้า,
275,ศาสตราจารย์พันเอก,
276,พันตรีหลวง,
277,พลโทหลวง,
278,ร้อยโทดอกเตอร์,
279,ร้อยเอกดอกเตอร์,
280,สารวัตรทหาร,
281,ร้อยตรีดอกเตอร์,
282,พันตรีคุณหญิง,
